SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
540154,IDFSENSEXE  ,B ,Q,395.00,395.00,395.00,395.00,395.00,395.00,1,17,6715.00,
540173,PNBHOUSING  ,A ,Q,805.00,811.60,800.15,803.00,804.80,809.45,450,10138,8166813.00,
540175,REGENCY     ,X ,Q,26.40,26.45,26.40,26.45,26.45,26.05,54,727,19204.00,
540180,VBL         ,A ,Q,944.40,946.40,936.00,942.40,942.25,943.90,232,2189,2059643.00,
540192,LKPSEC      ,XT,Q,8.00,8.40,7.93,8.40,8.40,8.33,5,751,5956.00,
540198,OSIAJEE     ,X ,Q,23.80,23.80,23.60,23.60,23.60,23.80,311,10160,239778.00,
540203,SFL         ,B ,Q,1287.00,1299.95,1271.30,1272.65,1271.30,1305.00,20,75,96080.00,
540204,NIDL        ,XT,Q,42.05,42.05,42.05,42.05,42.05,44.25,1,2,84.00,
540210,TMRVL       ,B ,Q,16.05,17.40,16.05,17.35,17.35,16.05,77,4204,71884.00,
540212,TCIEXP      ,B ,Q,666.90,667.40,652.40,661.05,661.70,663.20,49,119,78875.00,
540222,LAURUSLABS  ,A ,Q,340.85,348.70,332.15,335.95,335.35,340.50,103,746,252164.00,
540243,NEWLIGHT    ,X ,Q,39.60,39.60,36.25,39.20,39.30,39.00,50,40215,1570944.00,
540259,SHANGAR     ,X ,Q,35.90,36.40,35.90,36.40,36.40,36.00,158,83136,3002112.00,
540266,GLCL        ,X ,Q,7.05,7.05,7.05,7.05,7.05,7.03,2,4600,32430.00,
540268,DHANVARSHA  ,X ,Q,59.50,61.50,59.50,61.50,61.50,59.00,6,139,8425.00,
540293,PRICOLLTD   ,B ,Q,38.00,38.15,36.90,37.20,37.10,38.40,53,4959,185578.00,
540311,JITFINFRA   ,T ,Q,10.50,10.50,10.25,10.40,10.40,10.50,10,1254,13159.00,
540360,LLFICL      ,X ,Q,81.95,84.50,66.50,84.50,84.50,81.90,43,17844,1439105.00,
540361,DANUBE      ,XT,Q,6.23,6.50,6.23,6.50,6.50,6.21,12,12158,79026.00,
540366,RADIOCITY   ,B ,Q,58.85,58.85,57.30,58.15,57.55,57.65,27,606,35145.00,
540376,DMART       ,A ,Q,1293.30,1307.90,1284.75,1302.35,1300.00,1309.65,1112,23896,31074898.00,
540394,JDML        ,MT,Q,11.29,11.29,11.29,11.29,11.29,11.88,1,3000,33870.00,
540403,CLEDUCATE   ,B ,Q,107.00,107.00,107.00,107.00,107.00,107.00,1,11,1177.00,
540425,SHANKARA    ,A ,Q,487.50,497.60,480.00,484.35,482.70,489.05,317,3131,1523868.00,
540469,IPRU2933    ,B ,Q,9.52,9.52,9.52,9.52,9.52,10.40,3,2500,23800.00,
540497,SCHAND      ,B ,Q,94.30,97.00,86.00,91.65,92.40,94.60,146,2366,217743.00,
540519,MEERA       ,M ,Q,229.00,229.00,229.00,229.00,229.00,223.90,1,500,114500.00,
540526,IRBINVIT    ,IF,Q,65.40,65.40,65.25,65.25,65.25,65.50,2,10000,653250.00,
540530,HUDCO       ,A ,Q,40.30,40.30,39.65,39.95,40.00,40.30,262,51843,2067910.00,
